owner_name,first_name,patronymic,last_name,declaration_year,office,position,url
Божко Ігор Анатолійович,Ігор,Анатолійович,Божко,2020,Управління Державного агентства рибного господарства у Миколаївській області (Миколаївський рибоохоронний патруль),Головний державний інспектор відділу охорони водних біоресурсів,https://declarations.com.ua/declaration/nacp_164e5a2a-f046-4a79-998a-3423b1742db3
Божко Ігор Анатолійович,Тетяна,Леонідівна,Божко,2019,Управління Державного агентства рибного господарства у Миколаївській області (Миколаївський рибооохоронний патруль),Головний спеціаліст відділу іхтіології та регулювання рибальства,https://declarations.com.ua/declaration/nacp_27c939ad-883e-4df5-9e48-ccc5132b4850
Божко Ігор Анатолійович,Тетяна,Леонідівна,Божко,2019,Управління Державного агентства рибного господарства у Миколаївській області (Миколаївський рибооохоронний патруль),Головний спеціаліст відділу іхтіології та регулювання рибальства,https://declarations.com.ua/declaration/nacp_3b2f8bb3-905d-44e5-afca-e54fa1713bf9
Божко Ігор Анатолійович,Тетяна,Леонідівна,Божко,2020,Управління Державного агентства рибного господарства у Миколаївській області (Миколаївський рибооохоронний патруль),Головний спеціаліст відділу іхтіології та регулювання рибальства,https://declarations.com.ua/declaration/nacp_d969940d-be36-48d3-8f22-a6bc32b20db7
Божко Ігор Анатолійович,Тетяна,Ігорівна,Божко,2020,державна установа Кам'янська виправна колонія №101,завідуюча канцелярії,https://declarations.com.ua/declaration/nacp_1aac42fd-65d4-462e-a8dc-9dd6cb410a21
Божко Ігор Анатолійович,Тетяна,Ігорівна,Божко,2020,державна установа Кам'янська виправна колонія №101,завідуюча канцелярії,https://declarations.com.ua/declaration/nacp_406a6098-f730-4bc7-b79b-b5c890bc3fc6
Дудник Володимир Миколайович,Людмила,Петрівна,Дудник,2018,Безробітна,Безробітна,https://declarations.com.ua/declaration/nacp_7facff7a-3358-4c26-8715-ebaaddb9f613
Дудник Володимир Миколайович,Алла,Володимирівна,Дудник,2019,Полк патрульної поліції в місті Кривий Ріг Управління патрульної поліціі в Дніпропетровській області Департпменту патрульно,поліцейський,https://declarations.com.ua/declaration/nacp_156468c5-1597-45e4-ba17-d0e2ca49e8c8
Дудник Володимир Миколайович,Людмила,Петрівна,Дудник,2019,Безробітна,Безробітна,https://declarations.com.ua/declaration/nacp_08f49e7e-5587-4447-8eba-9fed60bc2b81
Дудник Володимир Миколайович,Людмила,Василівна,Дудник,2019,Приазовська районна державна лікарня ветеринарної медицини,Директор Приазовської міжрайонної державної лабораторії Державної служби України з питань беспечності харчової продукції та захисту споживачів,https://declarations.com.ua/declaration/nacp_a6a130f9-75db-4003-a5d2-29c9cb125a1b
Дудник Володимир Миколайович,Людмила,Василівна,Дудник,2020,Приазовська районна державна лікарня ветеринарної медицини,Директор Приазовської міжрайонної державної лабораторії Державної служби України з питань беспечності харчової продукції та захисту споживачів,https://declarations.com.ua/declaration/nacp_ddd5adfd-6933-46fa-bb96-39a037a34849
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_6011e89a-6bfa-4e78-9ee6-693cf6940305
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2019,Виконавчий комітет Руденківської сільської ради,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_687ba576-5f7b-44b3-85b3-da0dcc5274eb
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_b85bdf8a-7f6c-4136-8126-d272d71c6cd2
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_223e084f-1121-48b2-b900-62f3d7b37a71
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_f869e449-4e7f-4805-ba0a-e2391d962944
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2018,Виконавчий комітет Руденківської сільської ради,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_f4d09e95-dc87-4fe2-97f0-8a61cc4a3bf5
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2020,Виконавчий комітет Руденківської сільської ради Новосанжарського району Полтавської області,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_ed470306-0f8f-4fb5-8dad-b0a93deefa66
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2018,шевченківська районна в місті Києві державна адміністрація,головний спеціаліст ,https://declarations.com.ua/declaration/nacp_9bb7f7ca-a492-45c2-8e92-d7a0db190d26
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2019,шевченківська районна в місті Києві державна адміністрація,головний спеціаліст ,https://declarations.com.ua/declaration/nacp_0bba6824-98b0-4872-be67-c067ee282bc0
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2020,шевченківська районна в місті Києві державна адміністрація,головний спеціаліст ,https://declarations.com.ua/declaration/nacp_bba3db4a-a18f-450f-ab18-fcafaff266d3
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2020,Виконавчий комітет Руденківської сільської ради Новосанжарського району Полтавської області,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_2046dae5-c2a5-4a37-9c1f-93f7e4f4fa57
Горбенко Надія Михайлівна,Андрій,Григорович,Кудрицький,2018,"АТ ""ДТЕК"" Дніпровські електромережі"" Павлоградський РЕМ",Старший диспетчер,https://declarations.com.ua/declaration/nacp_915778f9-328a-450c-bf9a-81810912218f
